studentid	mdate	mark	type	subjectid
140	2010.09.08	4	oral assessment	13
105	2010.09.08	5	oral assessment	13
105	2010.09.08	4	oral assessment	13
345	2010.09.07	5	oral assessment	6
390	2010.09.07	5	oral assessment	6
365	2010.09.07	5	lesson work	6
351	2010.09.06	5	oral assessment	5
366	2010.09.06	5	oral assessment	3
365	2010.09.06	5	oral assessment	3
360	2010.09.06	5	oral assessment	3
83	2010.09.06	5	oral assessment	18
419	2010.09.03	5	lesson work	19
408	2010.09.03	5	lesson work	19
140	2010.09.08	5	quiz	13
183	2010.09.08	5	oral assessment	13
155	2010.09.08	5	oral assessment	13
113	2010.09.08	4	oral assessment	13
129	2010.09.08	5	oral assessment	13
103	2010.09.08	5	oral assessment	13
150	2010.09.08	5	oral assessment	13
172	2010.09.08	5	oral assessment	13
297	2010.09.08	4	oral assessment	13
297	2010.09.08	5	oral assessment	13
262	2010.09.08	4	oral assessment	13
253	2010.09.08	5	quiz	13
274	2010.09.08	5	quiz	13
272	2010.09.08	5	oral assessment	13
27	2010.09.08	5	oral assessment	3
334	2010.09.09	4	oral assessment	6
324	2010.09.09	5	lesson work	6
319	2010.09.09	5	quiz	12
262	2010.09.09	5	quiz	12
216	2010.09.09	4	quiz	12
263	2010.09.09	4	quiz	12
253	2010.09.09	4	quiz	12
288	2010.09.09	4	quiz	12
238	2010.09.09	5	quiz	12
215	2010.09.09	4	quiz	12
244	2010.09.09	5	quiz	12
216	2010.09.09	5	quiz	12
288	2010.09.09	5	quiz	12
383	2010.09.09	3	oral assessment	6
299	2010.09.09	4	oral assessment	10
180	2010.09.09	5	oral assessment	10
367	2010.09.09	4	oral assessment	3
359	2010.09.09	5	oral assessment	10
24	2010.09.09	5	home test	13
388	2010.09.10	1	lesson work	1
84	2010.09.10	5	oral assessment	14
23	2010.09.10	4	oral assessment	14
298	2010.09.10	5	oral assessment	10
78	2010.09.11	4	oral assessment	3
131	2010.09.12	4	oral assessment	3
283	2010.09.13	5	oral assessment	18
307	2010.09.13	4	quiz	12
222	2010.09.13	5	quiz	12
270	2010.09.13	4	quiz	12
309	2010.09.13	4	quiz	12
292	2010.09.13	5	quiz	12
285	2010.09.13	5	quiz	12
256	2010.09.13	3	quiz	12
272	2010.09.13	5	quiz	12
299	2010.09.13	4	quiz	12
237	2010.09.13	4	oral assessment	10
42	2010.09.13	4	oral assessment	10
397	2010.09.13	5	oral assessment	3
388	2010.09.13	3	oral assessment	19
356	2010.09.13	5	oral assessment	19
56	2010.09.13	5	quiz	5
19	2010.09.13	5	quiz	5
92	2010.09.13	5	quiz	5
54	2010.09.13	5	quiz	5
4	2010.09.13	5	quiz	5
363	2010.09.14	3	oral assessment	6
301	2010.09.14	5	oral assessment	18
379	2010.09.14	5	oral assessment	10
303	2010.09.14	5	oral assessment	4
164	2010.09.14	5	oral assessment	10
116	2010.09.14	5	oral assessment	10
58	2010.09.14	5	oral assessment	3
172	2010.09.14	5	oral assessment	12
41	2010.09.14	5	quiz	10
6	2010.09.14	5	quiz	10
80	2010.09.14	4	quiz	10
102	2010.09.14	3	quiz	10
53	2010.09.14	4	quiz	10
83	2010.09.14	5	quiz	10
212	2010.09.14	4	quiz	10
84	2010.09.14	5	quiz	10
85	2010.09.14	5	quiz	10
81	2010.09.14	4	quiz	10
89	2010.09.14	4	quiz	10
94	2010.09.14	5	quiz	10
82	2010.09.14	3	quiz	10
15	2010.09.14	5	quiz	10
77	2010.09.14	5	quiz	10
79	2010.09.14	3	quiz	10
76	2010.09.14	5	quiz	10
16	2010.09.14	2	quiz	10
38	2010.09.14	4	quiz	10
63	2010.09.14	3	quiz	10
62	2010.09.14	5	quiz	10
61	2010.09.14	4	quiz	10
67	2010.09.14	3	quiz	10
65	2010.09.14	5	quiz	10
95	2010.09.14	3	quiz	10
25	2010.09.14	5	quiz	10
26	2010.09.14	5	quiz	10
35	2010.09.14	5	quiz	10
73	2010.09.14	5	quiz	10
68	2010.09.14	5	quiz	10
33	2010.09.14	5	quiz	10
87	2010.09.14	5	quiz	10
154	2010.09.14	4	topic test	14
289	2010.09.14	3	topic test	17
223	2010.09.14	1	topic test	17
228	2010.09.14	5	topic test	17
236	2010.09.14	2	topic test	17
240	2010.09.14	1	topic test	17
241	2010.09.14	3	topic test	17
242	2010.09.14	1	topic test	17
294	2010.09.14	3	topic test	17
141	2010.09.15	5	quiz	14
127	2010.09.15	3	quiz	14
186	2010.09.15	3	quiz	14
130	2010.09.15	2	quiz	14
133	2010.09.15	4	quiz	14
171	2010.09.15	2	quiz	14
161	2010.09.15	3	quiz	14
189	2010.09.15	2	quiz	14
191	2010.09.15	3	quiz	14
109	2010.09.15	5	quiz	14
141	2010.09.15	5	topic test	14
127	2010.09.15	5	lesson work	14
186	2010.09.15	5	topic test	14
133	2010.09.15	5	topic test	14
133	2010.09.15	5	lesson work	14
161	2010.09.15	5	lesson work	14
191	2010.09.15	5	lesson work	14
109	2010.09.15	5	topic test	14
109	2010.09.15	5	lesson work	14
166	2010.09.15	5	topic test	14
85	2010.09.15	2	topic test	16
74	2010.09.15	3	topic test	16
97	2010.09.15	4	topic test	16
352	2010.09.15	5	oral assessment	12
344	2010.09.15	5	oral assessment	12
105	2010.09.15	3	oral assessment	12
115	2010.09.15	4	oral assessment	12
187	2010.09.15	4	oral assessment	12
118	2010.09.15	4	oral assessment	12
204	2010.09.15	2	oral assessment	12
203	2010.09.15	4	oral assessment	12
194	2010.09.15	4	oral assessment	12
145	2010.09.15	5	oral assessment	12
183	2010.09.15	4	oral assessment	12
207	2010.09.15	3	oral assessment	12
211	2010.09.15	5	oral assessment	12
122	2010.09.15	5	oral assessment	12
105	2010.09.15	2	oral assessment	12
115	2010.09.15	5	oral assessment	12
187	2010.09.15	5	oral assessment	12
118	2010.09.15	4	oral assessment	12
204	2010.09.15	4	oral assessment	12
203	2010.09.15	3	oral assessment	12
194	2010.09.15	5	oral assessment	12
145	2010.09.15	5	oral assessment	12
183	2010.09.15	5	oral assessment	12
207	2010.09.15	5	oral assessment	12
211	2010.09.15	4	oral assessment	12
122	2010.09.15	5	oral assessment	12
183	2010.09.15	5	oral assessment	12
187	2010.09.15	4	oral assessment	12
49	2010.09.15	5	lesson work	10
